year,ferrarienzo,ferrarif40,fordgt40,lamborghinilm002,mclarenf1
2006-01-01,812755.4298,231962.4644,1205729.25,65685.90552,1591995.98
2006-02-01,812589.2384,242383.3204,1222337.272,67010.69496,1571049.541
2006-03-01,812423.047,252804.1765,1243264.561,68335.48439,1550103.102
2006-04-01,812256.8556,263225.0325,1268511.115,69660.27382,1529156.662
2006-05-01,812090.6642,273645.8886,1298076.935,70859.8007,1508210.223
2006-06-01,811924.4729,284066.7446,1331962.021,71934.06505,1487263.784
2006-07-01,811758.2815,294487.6007,1370166.373,72883.06685,1466317.344
2006-08-01,811592.0901,306956.8093,1408370.725,73706.80611,1445370.905
2006-09-01,811425.8987,270084.2452,1446575.077,54241.63941,1272784.087
2006-10-01,811259.7073,278030.8448,1484779.429,54415.72687,1266620.177
2006-11-01,811093.516,287001.6207,1522983.781,54589.81433,1262865.384
2006-12-01,810927.3246,296996.5729,1561188.133,54763.90179,1261519.707
2007-01-01,810761.1332,297003.2839,1599392.485,54937.98925,1262583.147
2007-02-01,810594.9418,289803.0593,1637596.837,55642.09103,1255291.023
2007-03-01,810428.7505,282476.7035,1675801.189,56346.19281,1247998.899
2007-04-01,810262.5591,275024.2165,1714005.541,57050.29459,1240706.775
2007-05-01,810096.3677,267445.5982,1752209.893,57754.39637,1233414.652
2007-06-01,809930.1763,260162.0122,1790414.245,58980.68546,1221523.793
2007-07-01,809763.9849,269396.2853,1828618.597,59410.52007,1209632.935
2007-08-01,809597.7936,295148.4174,1866822.949,59043.90021,1197742.077
2007-09-01,809431.6022,313099.883,1905027.301,57880.82587,1185851.218
2007-10-01,809265.4108,336473.0545,1943231.653,57459.19835,1212820.407
2007-11-01,809099.2194,352045.5595,1973187.69,56241.11635,1239789.596
2007-12-01,808933.028,354185.8252,1994895.412,53080.42773,1266758.784
2008-01-01,808766.8367,351423.32,2008354.82,51052.99945,1293727.973
2008-02-01,808600.6453,341344.3846,2013565.912,48731.92899,1297092.255
2008-03-01,808434.4539,339794.9177,2010528.69,47544.11888,1300456.538
2008-04-01,808268.2625,346774.9193,1999243.153,47489.5691,1303820.82
2008-05-01,808102.0711,362284.3894,1987957.617,48210.10365,1307185.102
2008-06-01,810895.94,367913.4339,1976672.08,52220.57317,1309967.973
2008-07-01,816649.869,361099.9502,1965386.543,55872.86669,1317826.557
2008-08-01,825363.8582,379748.414,1954101.006,59166.98419,1330760.855
2008-09-01,837037.9076,392740.0272,1947692.938,62102.92568,1348770.866
2008-10-01,851672.0172,400803.2021,1946162.34,62841.54192,1378907.591
2008-11-01,869266.1869,403209.5265,1949509.211,63580.15816,1410700.489
2008-12-01,886860.3567,412401.5286,1957733.551,64318.7744,1439073.847
2009-01-01,904454.5265,428379.2085,1970835.36,65057.39063,1464027.665
2009-02-01,919915.7267,412439.8209,1988814.639,65397.2598,1474747.474
2009-03-01,933243.9572,399164.6859,2006793.917,65737.12897,1482047.743
2009-04-01,944439.2182,388553.8035,2024773.196,66076.99813,1485928.473
2009-05-01,953501.5095,380607.1738,2042752.474,66416.8673,1489809.202
2009-06-01,960430.8312,359322.8101,2060731.753,65905.03561,1486789.588
2009-07-01,965227.1834,342190.2573,2078711.032,65393.20392,1483769.973
2009-08-01,970023.5355,326545.2628,2096690.31,64881.37223,1480750.359
2009-09-01,974819.8876,310866.2526,1772676.312,64369.54054,1477730.745
2009-10-01,979616.2397,315563.3103,1783063.152,64605.99929,1479213.021
2009-11-01,984412.5918,320226.3523,1793449.993,64842.45805,1480695.297
2009-12-01,989208.9439,323367.8205,1803836.833,65078.9168,1482177.573
2010-01-01,994005.296,324987.7149,1814223.673,65315.37556,1483659.85
2010-02-01,998801.6481,327227.7607,1841083.723,66328.87321,1498733.72
2010-03-01,1003598.0,325996.3737,1867943.773,67342.37085,1513807.59
2010-04-01,1008394.352,321293.554,1894803.823,68355.8685,1528881.46
2010-05-01,1013190.704,330450.0974,1921663.873,69369.36615,1543955.33
2010-06-01,1017987.057,337614.543,1931462.514,68819.10887,1543812.043
2010-07-01,1022783.409,348144.7721,1941261.156,68162.5409,1543668.757
2010-08-01,1027579.761,362040.7847,1951059.797,67399.66223,1543525.471
2010-09-01,1032376.113,376138.7146,1962123.302,66670.28572,1548139.387
2010-10-01,1037172.465,389307.7431,1969354.602,66443.45645,1555358.256
2010-11-01,1041968.817,389435.8553,1977850.765,66250.12934,1567334.327
2010-12-01,1046765.169,387016.6307,1987611.792,66090.30439,1584067.601
2011-01-01,1051561.521,382050.0695,1998637.681,66070.2923,1605558.078
